"key","message","comment","context"
"Account no",,,
"Address",,,
"Addresses",,,
"All Invoice",,,
"All Invoices",,,
"Bank",,,
"Bank Account",,,
"Bank Accounts",,,
"Bank details",,,
"CGST",,,
"Cancelled",,,
"Cancelled Invoice",,,
"Category",,,
"Cities",,,
"City",,,
"Code",,,
"Companies",,,
"Company",,,
"Configurations",,,
"Contact",,,
"Contacts",,,
"Cost price",,,
"Countries",,,
"Country",,,
"Create",,,
"Create Invoice",,,
"Create-Invoice",,,
"Current",,,
"Customer",,,
"Customer per State",,,
"Date",,,
"Default",,,
"Draft",,,
"Draft Invoice",,,
"From Date",,,
"GST Rate",,,
"GST rate",,,
"GSTIN",,,
"Gross Amount",,,
"Gst",,,
"HSBN",,,
"IFSC",,,
"IGST",,,
"Image",,,
"Individual",,,
"Invoice",,,
"Invoice Line",,,
"Invoice Lines",,,
"Invoice address",,,
"Invoice amount per status",,,
"Invoice items",,,
"Invoice older than one month,Validated And not Paid",,,
"Invoices",,,
"Item",,,
"Line1",,,
"Line2",,,
"Logo",,,
"Model",,,
"Name",,,
"Net Amount",,,
"Net CSGT",,,
"Net IGST",,,
"Net SGST",,,
"Next Number",,,
"Number of invoices per status",,,
"Others",,,
"Padding",,,
"Paid",,,
"Paid Invoice",,,
"Paid invoices per category per product",,,
"Parties",,,
"Party",,,
"Party contact",,,
"Pin Code",,,
"Prefix",,,
"Price",,,
"Primary",,,
"Primary Email",,,
"Primary Phone",,,
"Print",,,
"Priority",,,
"Product",,,
"Product Categories",,,
"Product Category",,,
"Products",,,
"Products Categories",,,
"Qty",,,
"Reference",,,
"SGST",,,
"Sale price",,,
"Saving",,,
"Secondary",,,
"Secondary Email",,,
"Secondary Phone",,,
"Sequence",,,
"Sequences",,,
"Shipping",,,
"Shipping address",,,
"State",,,
"States",,,
"Status",,,
"Suffix",,,
"Supplier",,,
"To Date",,,
"Type",,,
"Unpaid invoices per customer",,,
"Use invoice address as shipping",,,
"Validated",,,
"Validated Invoice",,,
"Welcome",,,
"Welcome!!",,,
"select product to generate reports",,,
